osm_element,osm_id,building,area_m2,lat,lon,shadow_mass,levels,height_source,osm_url
way,915422910,yes,1764.0,51.132687,71.461959,42.0,,manual,https://www.openstreetmap.org/way/915422910
way,30637413,yes,1763.0,51.184733,71.411843,42.0,,manual,https://www.openstreetmap.org/way/30637413
way,1010940964,house,1762.0,51.093434,71.468846,42.0,,manual,https://www.openstreetmap.org/way/1010940964
way,241226039,yes,1762.0,51.168929,71.434365,42.0,,manual,https://www.openstreetmap.org/way/241226039
way,1103224511,yes,1762.0,51.147641,71.549837,42.0,,manual,https://www.openstreetmap.org/way/1103224511
way,578800978,yes,1760.0,51.093802,71.451573,42.0,,manual,https://www.openstreetmap.org/way/578800978
way,578800975,yes,1760.0,51.096433,71.452511,41.9,,manual,https://www.openstreetmap.org/way/578800975
way,578800981,yes,1757.0,51.092522,71.454006,41.9,,manual,https://www.openstreetmap.org/way/578800981
way,578800977,yes,1757.0,51.094688,71.451911,41.9,,manual,https://www.openstreetmap.org/way/578800977
way,578800973,yes,1757.0,51.098188,71.453187,41.9,,manual,https://www.openstreetmap.org/way/578800973
way,578800980,yes,1757.0,51.092734,71.452661,41.9,,manual,https://www.openstreetmap.org/way/578800980
way,578800979,yes,1756.0,51.092946,71.451256,41.9,,manual,https://www.openstreetmap.org/way/578800979
way,578800968,yes,1756.0,51.100836,71.45411,41.9,,manual,https://www.openstreetmap.org/way/578800968
way,918112839,yes,1754.0,51.157779,71.373761,41.9,,manual,https://www.openstreetmap.org/way/918112839
way,578800967,yes,1754.0,51.101729,71.454421,41.9,,manual,https://www.openstreetmap.org/way/578800967
way,578800969,yes,1754.0,51.099957,71.453794,41.9,,manual,https://www.openstreetmap.org/way/578800969
way,1104082198,yes,1753.0,51.215884,71.404139,41.9,,manual,https://www.openstreetmap.org/way/1104082198
way,240592113,yes,1752.0,51.151683,71.486351,41.9,,manual,https://www.openstreetmap.org/way/240592113
way,424980220,yes,1752.0,51.12728,71.487661,41.9,,manual,https://www.openstreetmap.org/way/424980220
way,1124566866,yes,1750.0,51.211573,71.406761,41.8,,manual,https://www.openstreetmap.org/way/1124566866
way,583447183,yes,1749.0,51.179319,71.492774,41.8,,manual,https://www.openstreetmap.org/way/583447183
way,258120768,yes,1749.0,51.174145,71.456177,41.8,,manual,https://www.openstreetmap.org/way/258120768
way,1089447363,yes,1748.0,51.123418,71.48593,41.8,,manual,https://www.openstreetmap.org/way/1089447363
way,578800972,yes,1748.0,51.099081,71.453488,41.8,,manual,https://www.openstreetmap.org/way/578800972
way,578800974,yes,1747.0,51.097319,71.452855,41.8,,manual,https://www.openstreetmap.org/way/578800974
way,1102541426,yes,1746.0,51.187168,71.528813,41.8,,manual,https://www.openstreetmap.org/way/1102541426
way,1109634611,yes,1746.0,51.184875,71.506684,41.8,,manual,https://www.openstreetmap.org/way/1109634611
way,926528761,retail,436.0,51.188589,71.44695,41.8,,manual,https://www.openstreetmap.org/way/926528761
way,925184231,yes,1745.0,51.168836,71.538531,41.8,,manual,https://www.openstreetmap.org/way/925184231
way,578800976,yes,1744.0,51.095564,71.452174,41.8,,manual,https://www.openstreetmap.org/way/578800976
way,1104400506,yes,1743.0,51.207664,71.336386,41.8,,manual,https://www.openstreetmap.org/way/1104400506
way,258786535,house,1741.0,51.104201,71.470576,41.7,,manual,https://www.openstreetmap.org/way/258786535
way,642072846,yes,1740.0,51.180355,71.387434,41.7,,manual,https://www.openstreetmap.org/way/642072846
way,240376671,yes,1738.0,51.171162,71.432088,41.7,,manual,https://www.openstreetmap.org/way/240376671
way,917669331,yes,1737.0,51.132486,71.51166,41.7,,manual,https://www.openstreetmap.org/way/917669331
way,1076775770,yes,1737.0,51.078125,71.396348,41.7,,manual,https://www.openstreetmap.org/way/1076775770
way,243299251,yes,1736.0,51.180821,71.332848,41.7,,manual,https://www.openstreetmap.org/way/243299251
way,1107059973,yes,1735.0,51.19944,71.347527,41.7,,manual,https://www.openstreetmap.org/way/1107059973
way,258163702,yes,1733.0,51.034929,71.475584,41.6,,manual,https://www.openstreetmap.org/way/258163702
way,257237406,garage,1733.0,51.173153,71.375993,41.6,,manual,https://www.openstreetmap.org/way/257237406
way,1104766564,yes,1732.0,51.175245,71.491109,41.6,,manual,https://www.openstreetmap.org/way/1104766564
relation,14518371,yes,1731.0,51.099124,71.458746,41.6,,manual,https://www.openstreetmap.org/relation/14518371
way,240592141,garage,1730.0,51.153775,71.472163,41.6,,manual,https://www.openstreetmap.org/way/240592141
way,1100946121,yes,1730.0,51.093826,71.45648,41.6,,manual,https://www.openstreetmap.org/way/1100946121
way,258536427,yes,1730.0,51.184334,71.469955,41.6,,manual,https://www.openstreetmap.org/way/258536427
way,1104766580,yes,1730.0,51.168537,71.532813,41.6,,manual,https://www.openstreetmap.org/way/1104766580
way,425328866,yes,1730.0,51.174824,71.389395,41.6,,manual,https://www.openstreetmap.org/way/425328866
way,1087935321,yes,1730.0,51.175264,71.387519,41.6,,manual,https://www.openstreetmap.org/way/1087935321
way,240564827,yes,1729.0,51.150846,71.472006,41.6,,manual,https://www.openstreetmap.org/way/240564827
way,1117038056,yes,1726.0,51.118812,71.599963,41.5,,manual,https://www.openstreetmap.org/way/1117038056
way,925184227,yes,1724.0,51.162051,71.539887,41.5,,manual,https://www.openstreetmap.org/way/925184227
way,1100946289,yes,1723.0,51.170025,71.419012,41.5,,manual,https://www.openstreetmap.org/way/1100946289
way,1076768824,yes,1722.0,51.083134,71.444375,41.5,,manual,https://www.openstreetmap.org/way/1076768824
way,1179893197,yes,1713.0,51.163926,71.536863,41.4,,manual,https://www.openstreetmap.org/way/1179893197
way,1077514436,yes,1712.0,51.126893,71.48502,41.4,,manual,https://www.openstreetmap.org/way/1077514436
way,918112806,yes,1712.0,51.142451,71.389035,41.4,,manual,https://www.openstreetmap.org/way/918112806
way,1076775773,yes,1712.0,51.076952,71.396937,41.4,,manual,https://www.openstreetmap.org/way/1076775773
